lot	file	physical_presence	bytes	declared_hash	status
LOT-A	LOT-A.zip	present	186099	cd2aa9f285cad7de63494bc84c33fc770011f15b981793a69498fa9c5b557d50	PRESENT
LOT-A	LOT-A.zip.sha256	present	182	cd2aa9f285cad7de63494bc84c33fc770011f15b981793a69498fa9c5b557d50	PRESENT
LOT-B	LOT-B.zip	present	33775	caf5212ba5000f1c508df865491ea1475050f50e0be99d32d4a07466ecc0def4	PRESENT
LOT-B	LOT-B.zip.sha256	present	182	caf5212ba5000f1c508df865491ea1475050f50e0be99d32d4a07466ecc0def4	PRESENT
LOT-C	LOT-C.zip	present	52464	de22feb6e25abeaf550a6c11c183c303628726b981d5e9a3038e873ed8a41b62	PRESENT
LOT-C	LOT-C.zip.sha256	present	182	de22feb6e25abeaf550a6c11c183c303628726b981d5e9a3038e873ed8a41b62	PRESENT
LOT-D	LOT-D.zip	present	32643	d9fc3f90f4b8b6d98afccff98626b917a9ef0beaf9ba214859c041b0750f8ead	PRESENT
LOT-D	LOT-D.zip.sha256	present	182	d9fc3f90f4b8b6d98afccff98626b917a9ef0beaf9ba214859c041b0750f8ead	PRESENT
